full_id,osm_id,osm_type,highway,name,name:en,name:zh,oneway,name:ru,name:vi,name:zh-Hans,name:zh_pinyin,lanes,int_name,surface,lit,bridge,layer,trolley_wire,ref,alt_name,alt_name:en,bicycle,junction,cycleway:right,designation,name:fr,foot,maxspeed,maxheight,horse,oneway:hour_off,oneway:hour_on,oneway:psv,alt_name:zh_pinyin,wikipedia,cycleway,maxaxleload,maxweight,name:zh-Hant,bridge:name,access,psv,roundabout,local_name,tunnel,cutting,bridge_name,int_ref,tunnel:name,motor_vehicle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4231222,"4231222",way,primary,广场西侧路,West Guangchang Road,广场西侧路,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4263917,"4263917",way,primary,复兴路,Fuxing Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4484630,"4484630",way,primary,东长安街,East Chang'an Street,东长安街,yes,улица Дун-Чанъаньцзе,Đường Đông Trường An,东长安街,Dōng-Cháng'ān-jiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4908397,"4908397",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4908400,"4908400",way,primary,前门东大街,Qianmen East Street,,yes,,,,Qiánmén Dōng Dà Jiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4928045,"4928045",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w5135894,"5135894",way,primary,姚家园路,Yaojiayuan Road,,yes,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w8861304,"8861304",way,primary,朝阳北路,,,yes,,,,cháoyáng běi lù,,Chaoyang Beilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w9701938,"9701938",way,primary,,,,yes,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w9853022,"9853022",way,primary,工人体育场北路,Gongrentiyuchang North Road,,yes,,,,Gōngréntǐyùchǎng Běi Lù,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w13514983,"13514983",way,primary,广安路,Guanan Street,,yes,,,,,,Guang'an Lu,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w21691079,"21691079",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22036897,"22036897",way,primary,崇文门外大街,Outer Chongwenmen Str,崇文门外大街,yes,,,,Chóngwénmén wài dà jiē,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22067192,"22067192",way,primary,永丰路,Yongfeng Road,,yes,,,,,,Yongfeng Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22371064,"22371064",way,primary,中关村南大街,South Zhongguancun Street,,yes,,,,,,Zhongguancun Nandajie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22758736,"22758736",way,primary,新街口外大街,,,yes,,,,Outer Xinjiekou Str,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22798028,"22798028",way,primary,广渠门桥,Guanqumen Bridge,,yes,,,,,,Guanqumen Qiao,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22799394,"22799394",way,primary,广安门外大街,Guananmen Outer Avenue,,yes,,,,,,Guangan'menwai Dajie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w23767934,"23767934",way,primary,东四西大街,Dongsi West Street,,yes,,,,Dōngsì Xī Dà Jiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w24399561,"24399561",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w24797624,"24797624",way,primary,北清路,Bei Qing Road,,yes,,,,,,,,,,,,X023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w24798447,"24798447",way,primary,,,,,,,,,,,,,,,,S216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25091486,"25091486",way,primary,五四大街,Wu Si Daije,,,,,,,,Wusi Dajie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25105933,"25105933",way,primary,文津街,,,yes,,,,,,Wenjin Jie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25109171,"25109171",way,primary,平安里西大街,Ping'anli West Avenue,,yes,,,,,,Ping'anli Xidajie,asphalt,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25109457,"25109457",way,primary,东四南大街,,,,,,,,,Dongsi Nandajie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25110454,"25110454",way,primary,昌赤路,,,no,,,,,,,,,,,,S212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25446426,"25446426",way,primary,杏石口路,Xing Shi Kou Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25446427,"25446427",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25671099,"25671099",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25686070,"25686070",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25686071,"25686071",way,primary,G6辅路,,,yes,,,,,"2",,,,,,,S216,八达岭高速辅路,Badaling Expressway Side Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25686354,"25686354",way,primary,,,,yes,,,,,"2",,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26139157,"26139157",way,primary,香泉环岛,Xiang-Quan Roundabout,,,,,,,,,,,,"-1",,,,,,roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26152147,"26152147",way,primary,中关村北大街,Zhongguancun North Street,中关村北大街,yes,,,,Zhōngguāncūn běidàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26152148,"26152148",way,primary,中关村大街,,,yes,,,,,,,asphalt,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26320438,"26320438",way,primary,怀长路,Huaichang road,,yes,,,,,,,,,,,,S308,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,
w26320446,"26320446",way,primary,顺沙路,,,no,,,,,"2",,paved,,,,,S321,,,,,,省道,,,,,,,,,,,,,,,,,,,,,,,,,
w26403618,"26403618",way,primary,华威南路,South Huawei Road,,yes,,,,,,Huawei Nanlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26428226,"26428226",way,primary,立水桥,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26428250,"26428250",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26679345,"26679345",way,primary,学院路,Xueyuan Road,学院路,yes,,,,xuéyuàn lù,,,,,,,,,,,,,,,Route Xuéyuàn,,,,,,,,,,,,,,,,,,,,,,,,
w26679350,"26679350",way,primary,学清路,Xueqing Road,学清路,yes,,,,xuéqīng lù,,,,,,,,,,,,,,,Route Xuéqīng,,,,,,,,,,,,,,,,,,,,,,,,
w26679547,"26679547",way,primary,延康路,,延康路,yes,,,,,,,,,,,,S220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26763578,"26763578",way,primary,学院路,Xueyuan Road,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26812102,"26812102",way,primary,中关村大街,,,yes,,,,,,,asphalt,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26812131,"26812131",way,primary,,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w26812135,"26812135",way,primary,中关村大街,Zhongguancun Street,中关村大街,yes,,,,Zhōngguāncūn dàjiē,"5",,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w26812136,"26812136",way,primary,,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w27081693,"27081693",way,primary,志新路,Zhixin Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27083787,"27083787",way,primary,马连洼北路,Malianwa North Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27083791,"27083791",way,primary,马连洼北路,Malianwa North Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27083794,"27083794",way,primary,圆明园西路,Yuanmingyuan West Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27083795,"27083795",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27083797,"27083797",way,primary,永丰路,,,yes,,,,,"4",Yongfeng Lu,gravel,,,,,,,,,,,,,,"70",,,,,,,,,,,,,,,,,,,,,,
w27083799,"27083799",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27262001,"27262001",way,primary,北太平庄路,,,yes,,,,Beitaipingzhuang Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27262016,"27262016",way,primary,北太平庄路,,,yes,,,,Beitaipingzhuang Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27349407,"27349407",way,primary,荣昌西街,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27349439,"27349439",way,primary,博兴路,Boxing Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w27349440,"27349440",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w28508126,"28508126",way,primary,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w28508127,"28508127",way,primary,马家堡西路,Majiapu West Avenue,,yes,,,,,,Majiapu Xilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29129941,"29129941",way,primary,西环南路辅路,,,yes,,,,,,,,,,,,S302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29171210,"29171210",way,primary,大羊坊路,Dayangfang Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29257599,"29257599",way,primary,安定门桥,,,yes,,,,,,Andingmen Qiao,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29257663,"29257663",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29257673,"29257673",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29257674,"29257674",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29257699,"29257699",way,primary,安定门外大街,Outer Andingmen Str,,yes,,,,,,Andingmen Waijie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29269018,"29269018",way,primary,安定门桥,,,yes,,,,,,Andingmen Qiao,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w29269021,"29269021",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
