name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type,link_type_name,geometry
Connector,1,1285,5018,1,0.2384,7,21,10000,2,,"LINESTRING(-111.943375 40.616454,-111.938855 40.616737)"
Connector,2,1286,11125,1,0.466,7,21,10000,2,,"LINESTRING(-111.934202 40.630776,-111.93397 40.624024)"
Connector,3,1289,4952,1,0.2427,7,21,10000,2,,"LINESTRING(-111.933868 40.616707,-111.929251 40.616674)"
Connector,4,1289,5018,1,0.2621,7,21,10000,2,,"LINESTRING(-111.933868 40.616707,-111.938855 40.616737)"
Connector,5,1289,11124,1,0.5069,7,21,10000,2,,"LINESTRING(-111.933868 40.616707,-111.931819 40.609526)"
Connector,6,1289,11125,1,0.5047,7,21,10000,2,,"LINESTRING(-111.933868 40.616707,-111.93397 40.624024)"
Connector,7,1290,4952,1,0.2516,7,21,10000,2,,"LINESTRING(-111.924502 40.617134,-111.929251 40.616674)"
Connector,8,1296,5240,1,0.2056,7,21,10000,2,,"LINESTRING(-111.915638 40.613722,-111.911929 40.614669)"
Connector,9,1299,4958,1,0.1988,7,21,10000,2,,"LINESTRING(-111.908054 40.616174,-111.910232 40.618529)"
Connector,10,1299,11129,1,0.3637,7,21,10000,2,,"LINESTRING(-111.908054 40.616174,-111.907639 40.610911)"
Connector,11,1314,11146,1,0.2758,7,21,10000,2,,"LINESTRING(-111.944074 40.606326,-111.938858 40.605898)"
Connector,12,1316,11148,1,0.2608,7,21,10000,2,,"LINESTRING(-111.943565 40.598006,-111.938793 40.599039)"
Connector,13,1318,11160,1,0.2384,7,21,10000,2,,"LINESTRING(-111.943411 40.590891,-111.938878 40.590844)"
Connector,14,1319,11124,1,0.2054,7,21,10000,2,,"LINESTRING(-111.934408 40.607297,-111.931819 40.609526)"
Connector,15,1320,5820,1,0.3445,7,21,10000,2,,"LINESTRING(-111.934152 40.599993,-111.929267 40.603321)"
Connector,16,1320,11148,1,0.2527,7,21,10000,2,,"LINESTRING(-111.934152 40.599993,-111.938793 40.599039)"
Connector,17,1322,5589,1,0.2229,7,21,10000,2,,"LINESTRING(-111.934349 40.591006,-111.934063 40.587781)"
Connector,18,1322,11161,1,0.267,7,21,10000,2,,"LINESTRING(-111.934349 40.591006,-111.929272 40.591047)"
Connector,19,1323,5592,1,0.2697,7,21,10000,2,,"LINESTRING(-111.921418 40.591609,-111.922175 40.587742)"
Connector,20,1325,10853,1,0.1583,7,20,10000,2,,"LINESTRING(-111.907451 40.592344,-111.904442 40.592385)"
Connector,21,1346,11172,1,0.2518,7,21,10000,2,,"LINESTRING(-111.943605 40.584092,-111.938819 40.584171)"
Connector,22,1348,5210,1,0.2525,7,21,10000,2,,"LINESTRING(-111.943542 40.576985,-111.938741 40.576961)"
Connector,23,1349,5210,1,0.2309,7,21,10000,2,,"LINESTRING(-111.934352 40.57687,-111.938741 40.576961)"
Connector,24,1349,5219,1,0.2726,7,21,10000,2,,"LINESTRING(-111.934352 40.57687,-111.929172 40.57674)"
Connector,25,1349,11181,1,0.3091,7,21,10000,2,,"LINESTRING(-111.934352 40.57687,-111.931031 40.573173)"
Connector,26,1351,5209,1,0.2524,7,21,10000,2,,"LINESTRING(-111.943535 40.568001,-111.938738 40.568083)"
Connector,27,1352,5209,1,0.2516,7,21,10000,2,,"LINESTRING(-111.933963 40.567876,-111.938738 40.568083)"
Connector,28,1352,6256,1,0.254,7,21,10000,2,,"LINESTRING(-111.933963 40.567876,-111.929139 40.568044)"
Connector,29,1352,11181,1,0.3966,7,21,10000,2,,"LINESTRING(-111.933963 40.567876,-111.931031 40.573173)"
Connector,30,1352,11261,1,0.3863,7,21,10000,2,,"LINESTRING(-111.933963 40.567876,-111.934612 40.562298)"
Connector,31,1353,5589,1,0.2564,7,21,10000,2,,"LINESTRING(-111.934266 40.584068,-111.934063 40.587781)"
Connector,32,1353,11172,1,0.2395,7,21,10000,2,,"LINESTRING(-111.934266 40.584068,-111.938819 40.584171)"
Connector,33,1353,11173,1,0.2648,7,21,10000,2,,"LINESTRING(-111.934266 40.584068,-111.929246 40.584369)"
Connector,34,1354,5592,1,0.2627,7,20,10000,2,,"LINESTRING(-111.923428 40.584054,-111.922175 40.587742)"
Connector,35,1354,11173,1,0.3067,7,20,10000,2,,"LINESTRING(-111.923428 40.584054,-111.929246 40.584369)"
Connector,36,1355,5219,1,0.2329,7,21,10000,2,,"LINESTRING(-111.924746 40.576632,-111.929172 40.57674)"
Connector,37,1355,11183,1,0.2952,7,21,10000,2,,"LINESTRING(-111.924746 40.576632,-111.923406 40.572477)"
Connector,38,1356,6255,1,0.2527,7,21,10000,2,,"LINESTRING(-111.924114 40.567177,-111.919626 40.565871)"
Connector,39,1356,6256,1,0.271,7,21,10000,2,,"LINESTRING(-111.924114 40.567177,-111.929139 40.568044)"
Connector,40,1356,11183,1,0.3674,7,21,10000,2,,"LINESTRING(-111.924114 40.567177,-111.923406 40.572477)"
Connector,41,1356,11259,1,0.3823,7,21,10000,2,,"LINESTRING(-111.924114 40.567177,-111.926737 40.562009)"
Connector,42,1357,5174,1,0.4171,7,21,10000,2,,"LINESTRING(-111.914302 40.565109,-111.913869 40.559071)"
Connector,43,1357,5588,1,0.4955,7,21,10000,2,,"LINESTRING(-111.914302 40.565109,-111.917018 40.571988)"
Connector,44,1357,6255,1,0.2849,7,21,10000,2,,"LINESTRING(-111.914302 40.565109,-111.919626 40.565871)"
Connector,45,1359,6185,1,0.3586,7,21,10000,2,,"LINESTRING(-111.911824 40.577722,-111.905514 40.575754)"
Connector,46,1360,10850,1,0.1651,7,20,10000,2,,"LINESTRING(-111.901834 40.584029,-111.904175 40.585624)"
Connector,47,1360,11489,1,0.2373,7,20,10000,2,,"LINESTRING(-111.901834 40.584029,-111.902652 40.580647)"
Connector,48,1361,5728,1,0.1705,7,20,10000,2,,"LINESTRING(-111.902492 40.57568,-111.900794 40.573575)"
Connector,49,1397,11261,1,0.6112,7,21,10000,2,,"LINESTRING(-111.936589 40.553565,-111.934612 40.562298)"
Connector,50,1404,11257,1,0.1389,7,20,10000,2,,"LINESTRING(-111.908153 40.57176,-111.908371 40.569754)"
300 West,51,3689,11507,1,0.094,2,25,601,1,,"LINESTRING(-111.900748 40.562521,-111.902527 40.562393)"
500 West,52,4156,10849,1,0.0946,1,24,633,1,,"LINESTRING(-111.900942 40.58562,-111.900672 40.584264)"
500 West,53,4156,10850,1,0.17,1,24,633,1,,"LINESTRING(-111.900942 40.58562,-111.904175 40.585624)"
