link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,cell_type,length,lanes,free_speed,capacity,geometry,waterway,osm_way_id,link_type_name,electrified,frequency,highspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,,
0,,0,1247,,1,1,-1,30.53032,1,160.0,10.0,"LINESTRING (-87.671970 41.640613, -87.671929 41.640340)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
1,,1247,1,,1,1,-1,13.57369,1,160.0,10.0,"LINESTRING (-87.671929 41.640340, -87.671896 41.640220)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
2,,1,1246,,1,1,-1,16.75023,1,160.0,10.0,"LINESTRING (-87.671896 41.640220, -87.671838 41.640076)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
3,,1246,2,,1,1,-1,14.33341,1,160.0,10.0,"LINESTRING (-87.671838 41.640076, -87.671758 41.639962)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
4,,2,3,,1,1,-1,14.94452,1,160.0,10.0,"LINESTRING (-87.671758 41.639962, -87.671656 41.639851)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
5,,3,4,,1,1,-1,20.40795,1,160.0,10.0,"LINESTRING (-87.671656 41.639851, -87.671504 41.639707)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
6,,4,5,,1,1,-1,14.43102,1,160.0,10.0,"LINESTRING (-87.671504 41.639707, -87.671379 41.639617)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
7,,5,6,,1,1,-1,15.18865,1,160.0,10.0,"LINESTRING (-87.671379 41.639617, -87.671230 41.639538)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
8,,6,7,,1,1,-1,28.55343,1,160.0,10.0,"LINESTRING (-87.671230 41.639538, -87.670917 41.639432)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
9,,7,1248,,1,1,-1,11.36511,1,160.0,10.0,"LINESTRING (-87.670917 41.639432, -87.670786 41.639403)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
10,,1248,537,,1,1,-1,11.48341,1,160.0,10.0,"LINESTRING (-87.670786 41.639403, -87.670650 41.639385)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
11,,537,3024,,1,1,-1,12.20024,1,160.0,10.0,"LINESTRING (-87.670650 41.639385, -87.670504 41.639374)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
12,,3024,40,,1,1,-1,24.44596,1,160.0,10.0,"LINESTRING (-87.670504 41.639374, -87.670210 41.639369)",,24067032,rail,no,,no,,,,freight,,branch,,1435,,,
13,West Leg of Wye,1503,3020,,1,1,-1,6.39770,1,160.0,10.0,"LINESTRING (-87.674944 41.645982, -87.674893 41.645939)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
14,West Leg of Wye,3020,15,,1,1,-1,14.11191,1,160.0,10.0,"LINESTRING (-87.674893 41.645939, -87.674778 41.645846)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
15,West Leg of Wye,15,1501,,1,1,-1,28.97707,1,160.0,10.0,"LINESTRING (-87.674778 41.645846, -87.674569 41.645637)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
16,West Leg of Wye,1501,1502,,1,1,-1,15.02314,1,160.0,10.0,"LINESTRING (-87.674569 41.645637, -87.674464 41.645527)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
17,West Leg of Wye,1502,3017,,1,1,-1,20.78961,1,160.0,10.0,"LINESTRING (-87.674464 41.645527, -87.674339 41.645365)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
18,West Leg of Wye,3017,16,,1,1,-1,44.27530,1,160.0,10.0,"LINESTRING (-87.674339 41.645365, -87.674106 41.645007)",,24088406,rail,no,,no,,,,freight,,branch,,1435,,,
19,CSX Chicago Heights Subdivision,16,3018,,1,1,-1,44.74982,1,160.0,10.0,"LINESTRING (-87.674106 41.645007, -87.674324 41.645375)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
20,CSX Chicago Heights Subdivision,3018,1500,,1,1,-1,14.99968,1,160.0,10.0,"LINESTRING (-87.674324 41.645375, -87.674392 41.645500)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
21,CSX Chicago Heights Subdivision,1500,3019,,1,1,-1,13.71673,1,160.0,10.0,"LINESTRING (-87.674392 41.645500, -87.674431 41.645620)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
22,CSX Chicago Heights Subdivision,3019,1496,,1,1,-1,9.90288,1,160.0,10.0,"LINESTRING (-87.674431 41.645620, -87.674454 41.645707)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
23,CSX Chicago Heights Subdivision,1496,1497,,1,1,-1,13.93651,1,160.0,10.0,"LINESTRING (-87.674454 41.645707, -87.674475 41.645831)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
24,CSX Chicago Heights Subdivision,1497,876,,1,1,-1,12.52664,1,160.0,10.0,"LINESTRING (-87.674475 41.645831, -87.674483 41.645944)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
25,CSX Chicago Heights Subdivision,876,1498,,1,1,-1,19.44053,1,160.0,10.0,"LINESTRING (-87.674483 41.645944, -87.674462 41.646118)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
26,CSX Chicago Heights Subdivision,1498,536,,1,1,-1,14.26189,1,160.0,10.0,"LINESTRING (-87.674462 41.646118, -87.674422 41.646243)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
27,CSX Chicago Heights Subdivision,536,1499,,1,1,-1,20.32354,1,160.0,10.0,"LINESTRING (-87.674422 41.646243, -87.674346 41.646417)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
28,CSX Chicago Heights Subdivision,1499,22,,1,1,-1,18.10301,1,160.0,10.0,"LINESTRING (-87.674346 41.646417, -87.674252 41.646563)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
29,CSX Chicago Heights Subdivision,22,879,,1,1,-1,16.53868,1,160.0,10.0,"LINESTRING (-87.674252 41.646563, -87.674143 41.646688)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
30,CSX Chicago Heights Subdivision,879,1506,,1,1,-1,12.65021,1,160.0,10.0,"LINESTRING (-87.674143 41.646688, -87.674046 41.646775)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
31,CSX Chicago Heights Subdivision,1506,880,,1,1,-1,14.73388,1,160.0,10.0,"LINESTRING (-87.674046 41.646775, -87.673927 41.646874)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
32,CSX Chicago Heights Subdivision,880,1505,,1,1,-1,14.48481,1,160.0,10.0,"LINESTRING (-87.673927 41.646874, -87.673794 41.646958)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
33,CSX Chicago Heights Subdivision,1505,878,,1,1,-1,14.33731,1,160.0,10.0,"LINESTRING (-87.673794 41.646958, -87.673655 41.647034)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
34,CSX Chicago Heights Subdivision,878,1016,,1,1,-1,22.57807,1,160.0,10.0,"LINESTRING (-87.673655 41.647034, -87.673411 41.647123)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
35,CSX Chicago Heights Subdivision,1016,1011,,1,1,-1,22.56950,1,160.0,10.0,"LINESTRING (-87.673411 41.647123, -87.673152 41.647185)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
36,CSX Chicago Heights Subdivision,1011,1504,,1,1,-1,17.98079,1,160.0,10.0,"LINESTRING (-87.673152 41.647185, -87.672941 41.647220)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
37,CSX Chicago Heights Subdivision,1504,1015,,1,1,-1,16.39790,1,160.0,10.0,"LINESTRING (-87.672941 41.647220, -87.672746 41.647242)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
38,CSX Chicago Heights Subdivision,1015,1012,,1,1,-1,65.68039,1,160.0,10.0,"LINESTRING (-87.672746 41.647242, -87.671963 41.647326)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
39,CSX Chicago Heights Subdivision,1012,1014,,1,1,-1,63.03444,1,160.0,10.0,"LINESTRING (-87.671963 41.647326, -87.671218 41.647430)",,24088412,rail,no,,no,,,,freight,,branch,,1435,,,
