node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
0,,-87.671970,41.640613,,,0,"POINT (-87.671970 41.640613)",261091407,switch,,,,,
1,,-87.671896,41.640220,,,0,"POINT (-87.671896 41.640220)",261091408,,,,,,
2,,-87.671758,41.639962,,,0,"POINT (-87.671758 41.639962)",261091409,,,,,,
3,,-87.671656,41.639851,,,0,"POINT (-87.671656 41.639851)",261091410,,,,,,
4,,-87.671504,41.639707,,,0,"POINT (-87.671504 41.639707)",261091411,,,,,,
5,,-87.671379,41.639617,,,0,"POINT (-87.671379 41.639617)",261091413,,,,,,
6,,-87.671230,41.639538,,,0,"POINT (-87.671230 41.639538)",261091414,,,,,,
7,,-87.670917,41.639432,,,0,"POINT (-87.670917 41.639432)",261091415,,,,,,
8,,-87.674623,41.647037,,,0,"POINT (-87.674623 41.647037)",261208699,,,,,,
9,,-87.669888,41.647697,,,0,"POINT (-87.669888 41.647697)",261208701,,,,,,
10,,-87.669429,41.647764,,,0,"POINT (-87.669429 41.647764)",261208702,,,,,,
11,,-87.667136,41.648077,,,0,"POINT (-87.667136 41.648077)",261208705,switch,,,,,
12,,-87.664347,41.648324,,,0,"POINT (-87.664347 41.648324)",261208706,,,,,,
13,,-87.662444,41.648398,,,0,"POINT (-87.662444 41.648398)",261208707,,,,,,
14,,-87.660521,41.648452,,,0,"POINT (-87.660521 41.648452)",261208708,,,,,,
15,,-87.674778,41.645846,,,0,"POINT (-87.674778 41.645846)",261208842,,,,,,
16,,-87.674106,41.645007,,,0,"POINT (-87.674106 41.645007)",261208843,switch,,,,,
17,,-87.673937,41.644740,,,0,"POINT (-87.673937 41.644740)",261208844,,,,,,
18,,-87.672655,41.642721,,,0,"POINT (-87.672655 41.642721)",261208845,,,,,,
19,,-87.672124,41.641539,,,0,"POINT (-87.672124 41.641539)",261208846,,,,,,
20,,-87.660552,41.649397,,,0,"POINT (-87.660552 41.649397)",261208955,,,,,,
21,,-87.662967,41.648961,,,0,"POINT (-87.662967 41.648961)",261208956,,,,,,
22,,-87.674252,41.646563,,,0,"POINT (-87.674252 41.646563)",261208965,,,,,,
23,,-87.661712,41.648753,,,0,"POINT (-87.661712 41.648753)",261209129,,,,,,
24,,-87.660639,41.648846,,,0,"POINT (-87.660639 41.648846)",261209130,switch,,,,,
25,,-87.654275,41.640805,,,0,"POINT (-87.654275 41.640805)",261223592,,,,,,
26,,-87.654595,41.639104,,,0,"POINT (-87.654595 41.639104)",261223595,,,,,,
27,,-87.654385,41.639090,,,0,"POINT (-87.654385 41.639090)",261223596,,,,,,
28,,-87.641577,41.640194,,,0,"POINT (-87.641577 41.640194)",261223600,switch,,,,,
29,,-87.639104,41.640390,,,0,"POINT (-87.639104 41.640390)",261223601,,,,,,
30,,-87.635645,41.640409,,,0,"POINT (-87.635645 41.640409)",261223602,,,,,,
31,,-87.632567,41.640422,,,0,"POINT (-87.632567 41.640422)",261223603,,,,,,
32,,-87.666233,41.639413,,,0,"POINT (-87.666233 41.639413)",261223765,,,,,,
33,,-87.656787,41.639658,,,0,"POINT (-87.656787 41.639658)",261223768,switch,,,,,
34,,-87.646218,41.639496,,,0,"POINT (-87.646218 41.639496)",261223770,,,,,,
35,,-87.639377,41.640470,,,0,"POINT (-87.639377 41.640470)",261223772,,,,,,
36,,-87.635693,41.640481,,,0,"POINT (-87.635693 41.640481)",261223773,,,,,,
37,,-87.629708,41.640552,,,0,"POINT (-87.629708 41.640552)",261223775,switch,,,,,
38,,-87.656565,41.640669,,,0,"POINT (-87.656565 41.640669)",261223781,,,,,,
39,,-87.659151,41.640839,,,0,"POINT (-87.659151 41.640839)",261223783,switch,,,,,
40,,-87.670210,41.639369,,,0,"POINT (-87.670210 41.639369)",261223788,switch,,,,,
