name,node_id,osm_node_id,x_coord,y_coord,geometry
,0,42313387,-111.8992913,33.4360675,POINT (-111.8992913 33.4360675)
,1,196963723,-111.9473155,33.4380177,POINT (-111.9473155 33.4380177)
,2,196963725,-111.9477713,33.4377624,POINT (-111.9477713 33.4377624)
,3,196963726,-111.9479429,33.4377266,POINT (-111.9479429 33.4377266)
,4,196963727,-111.9484922,33.4376908,POINT (-111.9484922 33.4376908)
,5,196963729,-111.9515367,33.4374553,POINT (-111.9515367 33.4374553)
,6,196963731,-111.9517714,33.4375733,POINT (-111.9517714 33.4375733)
,7,316123348,-111.9489771,33.4349213,POINT (-111.9489771 33.4349213)
,8,316123350,-111.9494604,33.4325218,POINT (-111.9494604 33.4325218)
,9,826239828,-111.9130238,33.451853,POINT (-111.9130238 33.451853)
,10,826243046,-111.9136306,33.4544718,POINT (-111.9136306 33.4544718)
,11,826323295,-111.9142274,33.4548072,POINT (-111.9142274 33.4548072)
,12,863868831,-111.949215,33.4337324,POINT (-111.949215 33.4337324)
,13,863868836,-111.9494889,33.4337681,POINT (-111.9494889 33.4337681)
,14,863868841,-111.950462,33.4339003,POINT (-111.950462 33.4339003)
,15,863868843,-111.9508961,33.4339797,POINT (-111.9508961 33.4339797)
,16,863868846,-111.9518835,33.4341954,POINT (-111.9518835 33.4341954)
,17,863868850,-111.9523221,33.4342925,POINT (-111.9523221 33.4342925)
,18,863868854,-111.9528506,33.434411,POINT (-111.9528506 33.434411)
,19,863868858,-111.9532116,33.4345157,POINT (-111.9532116 33.4345157)
,20,863868861,-111.9536985,33.4346155,POINT (-111.9536985 33.4346155)
,21,863868875,-111.9541666,33.4346646,POINT (-111.9541666 33.4346646)
,22,863868879,-111.9547862,33.4347383,POINT (-111.9547862 33.4347383)
,23,863868883,-111.9552043,33.4347702,POINT (-111.9552043 33.4347702)
,24,863868887,-111.9556582,33.4347959,POINT (-111.9556582 33.4347959)
,25,863868889,-111.956291,33.4348214,POINT (-111.956291 33.4348214)
,26,863868896,-111.9569411,33.4348608,POINT (-111.9569411 33.4348608)
,27,863868899,-111.9576891,33.4349184,POINT (-111.9576891 33.4349184)
,28,863868902,-111.9590112,33.4349383,POINT (-111.9590112 33.4349383)
,29,863868904,-111.9595198,33.4349146,POINT (-111.9595198 33.4349146)
,30,863868906,-111.9600311,33.4349884,POINT (-111.9600311 33.4349884)
,31,863868910,-111.9603788,33.4349697,POINT (-111.9603788 33.4349697)
,32,863868913,-111.9614899,33.4350838,POINT (-111.9614899 33.4350838)
,33,864182167,-111.7891303,33.4860094,POINT (-111.7891303 33.4860094)
,34,864182168,-111.7925635,33.4866895,POINT (-111.7925635 33.4866895)
,35,864182170,-111.7956172,33.4878155,POINT (-111.7956172 33.4878155)
,36,864182172,-111.8007542,33.488415,POINT (-111.8007542 33.488415)
,37,864182173,-111.803666,33.4883666,POINT (-111.803666 33.4883666)
,38,864182174,-111.8084532,33.4864643,POINT (-111.8084532 33.4864643)
,39,864182175,-111.8131627,33.4846314,POINT (-111.8131627 33.4846314)
,40,864182176,-111.8150512,33.4832891,POINT (-111.8150512 33.4832891)
,41,864182178,-111.8196431,33.4783495,POINT (-111.8196431 33.4783495)
,42,864182179,-111.8214885,33.4767029,POINT (-111.8214885 33.4767029)
,43,864182181,-111.8252098,33.473777,POINT (-111.8252098 33.473777)
,44,864182183,-111.8278052,33.4705138,POINT (-111.8278052 33.4705138)
,45,864182184,-111.8321563,33.4663642,POINT (-111.8321563 33.4663642)
,46,864182186,-111.8381224,33.4637405,POINT (-111.8381224 33.4637405)
,47,864182188,-111.841726,33.4609795,POINT (-111.841726 33.4609795)
,48,864182190,-111.8430296,33.4565775,POINT (-111.8430296 33.4565775)
,49,864182191,-111.8437529,33.4554513,POINT (-111.8437529 33.4554513)
,50,864182194,-111.8464501,33.4551074,POINT (-111.8464501 33.4551074)
,51,864182196,-111.8497338,33.4536153,POINT (-111.8497338 33.4536153)
