name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
 Tempe Town Lake,0,28751896,reservoir,,0.00010196589750500195,POINT (-111.9287249 33.4330116),"POLYGON ((-111.9313761 33.4333091, -111.9314664 33.4333343, -111.9314559 33.4333603, -111.9314088 33.4333463, -111.9314009 33.4333702, -111.9315185 33.4334047, -111.9316345 33.4334305, -111.9317827 33.4334635, -111.9318506 33.433469, -111.9319599 33.4334884, -111.9321728 33.4335491, -111.9321716 33.4335572, -111.9321689 33.4335707, -111.932166 33.4335962, -111.9326526 33.4337517, -111.9326593 33.4337455, -111.9329679 33.4338334, -111.9329838 33.433833, -111.9330084 33.4338276, -111.9330236 33.4338325, -111.9330336 33.4338496, -111.9330313 33.4338673, -111.9332201 33.4339094, -111.9332439 33.4338955, -111.9332643 33.4338969, -111.93328 33.4339052, -111.9332874 33.4339197, -111.933477 33.4339638, -111.9335011 33.433963, -111.933863 33.434049, -111.9338642 33.4340627, -111.9342386 33.4341388, -111.934596 33.4342167, -111.9349124 33.434281, -111.935164 33.4343252, -111.9352987 33.4343467, -111.9356722 33.4343818, -111.9363856 33.4344227, -111.9367637 33.4344424, -111.9373898 33.4344513, -111.9375202 33.4344502, -111.9375917 33.4344385, -111.9378034 33.4344276, -111.9378066 33.4344954, -111.9379671 33.4344899, -111.9379673 33.4344223, -111.937979 33.434423, -111.9379792 33.4344456, -111.9382567 33.4344321, -111.9383363 33.4344228, -111.9384916 33.4343992, -111.9384938 33.4344326, -111.9392329 33.4344322, -111.9393231 33.4344224, -111.9394519 33.4344263, -111.9394706 33.4344126, -111.9397248 33.4344058, -111.9397248 33.4344214, -111.9398727 33.4344126, -111.9400994 33.4344151, -111.9404274 33.4344634, -111.940479 33.4344771, -111.9405047 33.4344644, -111.9405855 33.4344732, -111.9405827 33.4344943, -111.9406453 33.434504, -111.9406617 33.4344947, -111.9406663 33.4345074, -111.9409604 33.4345516, -111.9410779 33.4345582, -111.9412969 33.434567, -111.9415042 33.4345543, -111.9418157 33.4345279, -111.9421284 33.4345084, -111.9423404 33.4345006, -111.9424177 33.4345006, -111.9424551 33.4345201, -111.9424663 33.4345461, -111.9425654 33.4345229, -111.9427285 33.4345015, -111.9428401 33.4344943, -111.9429302 33.4345096, -111.9429431 33.4344943, -111.9429711 33.4344733, -111.9431276 33.4344691, -111.9433273 33.434465, -111.9435697 33.4344584, -111.9438718 33.4344516, -111.944352 33.4344545, -111.9445111 33.4344603, -111.9445114 33.4344499, -111.9445899 33.4344514, -111.9446598 33.4344528, -111.9447378 33.4344543, -111.9447377 33.4344599, -111.9452352 33.434483, -111.9457334 33.4345054, -111.9461071 33.4345286, -111.946476 33.43456, -111.9471303 33.4346267, -111.9472665 33.4346399, -111.9473642 33.4346544, -111.9476043 33.4346288, -111.9476698 33.4346184, -111.9477782 33.4346129, -111.9478544 33.4346205, -111.9479025 33.4346323, -111.9479612 33.4346931, -111.9480167 33.434738, -111.948073 33.4347781, -111.9481534 33.4348278, -111.948218 33.4348548, -111.9483546 33.4348734, -111.9489771 33.4349213, -111.949215 33.4337324, -111.9494604 33.4325218, -111.9478121 33.4322386, -111.9477989 33.4322835, -111.947731 33.432269, -111.9475496 33.4322462, -111.9474213 33.4322559, -111.9474188 33.4322807, -111.9471636 33.4323233, -111.9468838 33.4323492, -111.9468756 33.4323243, -111.9467596 33.4323174, -111.9466843 33.4323015, -111.946589 33.4322711, -111.9463721 33.4321985, -111.9462073 33.4321612, -111.9460607 33.4321481, -111.9459166 33.432137, -111.9450521 33.4320831, -111.9448 33.4320688, -111.9443696 33.4320609, -111.9442391 33.4320661, -111.9441863 33.4320805, -111.9441126 33.4321074, -111.9440493 33.4321396, -111.9439404 33.4322061, -111.9438099 33.4322667, -111.9437722 33.4322702, -111.9437419 33.4322671, -111.9437159 33.4322609, -111.9436368 33.4322256, -111.9435714 33.4321817, -111.9434542 33.4320985, -111.9433297 33.4320438, -111.9432557 33.4320272, -111.943148 33.4320262, -111.9429516 33.4320375, -111.9420387 33.432058, -111.9416379 33.4320635, -111.9416404 33.4320964, -111.9411047 33.4321453, -111.9410934 33.4321213, -111.9408917 33.4321449, -111.940769 33.432147, -111.9406059 33.4321298, -111.940514 33.4321201, -111.9403989 33.4321139, -111.9403252 33.4321162, -111.9402051 33.4321234, -111.9401705 33.4321236, -111.9400527 33.4321242, -111.9398813 33.4321436, -111.939695 33.432165, -111.9395054 33.4321754, -111.9392793 33.4321795, -111.9391749 33.4321754, -111.9389004 33.4321592, -111.9387534 33.4321498, -111.9385663 33.4321615, -111.9376429 33.432187, -111.9376149 33.4321878, -111.9375926 33.4322279, -111.9375615 33.4322237, -111.9374193 33.4322083, -111.9373214 33.4321991, -111.9372846 33.4321956, -111.9370177 33.4322026, -111.9370152 33.432213, -111.9367685 33.4322151, -111.936737 33.4321978, -111.9363335 33.4321824, -111.9357333 33.4321306, -111.9349694 33.4320303, -111.9343085 33.4318942, -111.9336047 33.4317151, -111.9327635 33.4314143, -111.9316392 33.4310275, -111.9308152 33.4307911, -111.93018 33.4306335, -111.9290814 33.4304258, -111.928163 33.4302897, -111.9281373 33.4303398, -111.9277854 33.4302467, -111.9268498 33.4301751, -111.9264344 33.4301638, -111.92616 33.4301575, -111.9259915 33.4301536, -111.9253049 33.4301608, -111.9244551 33.4302037, -111.9236855 33.4302704, -111.9235453 33.4302825, -111.9226441 33.4304115, -111.921803 33.4305905, -111.920856 33.4308672, -111.9208502 33.4308269, -111.9201722 33.431006, -111.9193654 33.4312853, -111.9183526 33.4316793, -111.9176573 33.4319658, -111.9170136 33.432195, -111.9165501 33.432324, -111.9159236 33.4324744, -111.9148669 33.4326898, -111.9140661 33.4328662, -111.9136688 33.4329599, -111.9125806 33.4330319, -111.9119502 33.433068, -111.9114924 33.4330896, -111.9105602 33.4331296, -111.9102295 33.4331835, -111.9103093 33.4344374, -111.9103697 33.4355833, -111.9105597 33.4355617, -111.9105597 33.4358427, -111.9110174 33.4357563, -111.9111902 33.4355617, -111.9115529 33.4355328, -111.9119329 33.4353815, -111.9125979 33.4352518, -111.912702 33.4352515, -111.9127265 33.4352872, -111.9129402 33.4352515, -111.9131631 33.4352414, -111.9136394 33.4352286, -111.9139661 33.4352439, -111.9143264 33.4352515, -111.9147997 33.4352337, -111.9151356 33.4352184, -111.9155081 33.43517, -111.9156516 33.4351343, -111.9160302 33.4350834, -111.9160486 33.4351318, -111.9162318 33.4351012, -111.9164913 33.4350401, -111.9165768 33.4350197, -111.9167046 33.4349814, -111.916799 33.4349599, -111.9169192 33.4349455, -111.9170222 33.4349455, -111.9171252 33.4349742, -111.917211 33.4350387, -111.9172797 33.4351103, -111.9173054 33.4352106, -111.9172968 33.435318, -111.9172196 33.435404, -111.9168898 33.4357515, -111.9177519 33.4363264, -111.9183096 33.4367219, -111.9190735 33.4358337, -111.9191765 33.4357406, -111.9193997 33.4355759, -111.9196829 33.4350602, -111.9197087 33.4350243, -111.9197688 33.4350028, -111.9203438 33.4348309, -111.9208073 33.4344943, -111.9209103 33.434394, -111.9210391 33.4343224, -111.9212107 33.4341433, -111.921597 33.433864, -111.9216399 33.4338998, -111.922172 33.4335631, -111.9227042 33.4333053, -111.9234423 33.4330188, -111.924335 33.4327896, -111.92491 33.4326964, -111.9254851 33.4326248, -111.9260859 33.4326033, -111.9266009 33.4325962, -111.9272961 33.4326176, -111.9283518 33.4327108, -111.9291329 33.4328182, -111.9301654 33.4330259, -111.9305085 33.4331081, -111.9307649 33.4331876, -111.9308258 33.4331955, -111.9309166 33.4332272, -111.9309693 33.4332311, -111.9311249 33.4332815, -111.9311321 33.4332653, -111.9310521 33.4332405, -111.9310296 33.4332329, -111.9309895 33.4332205, -111.9310003 33.4331961, -111.9311747 33.43325, -111.9311508 33.4333039, -111.9311107 33.4333944, -111.9312204 33.4334262, -111.9313179 33.4334544, -111.9313548 33.4333623, -111.9313761 33.4333091))"
,1,151313033,water,,2.4985099999322062e-09,POINT (-111.9504953 33.4381018),"POLYGON ((-111.9505139 33.4381306, -111.9504675 33.4381206, -111.9504701 33.4380741, -111.9505285 33.4380852, -111.9505139 33.4381306))"
,2,151313034,water,,1.3967899997557353e-09,POINT (-111.9505048 33.4379098),"POLYGON ((-111.9505258 33.4379235, -111.9505219 33.437887, -111.950486 33.4378958, -111.9504847 33.4379313, -111.9505258 33.4379235))"
,3,151313036,water,,4.080049998890402e-09,POINT (-111.9504113 33.4379807),"POLYGON ((-111.9504131 33.4379423, -111.9503892 33.4379468, -111.9503852 33.4379047, -111.9504303 33.437898, -111.9504144 33.4381095, -111.9504005 33.4381062, -111.9504131 33.4379423))"
,4,242630979,wetland,,5.787803029502178e-05,POINT (-111.8884067 33.437421),"POLYGON ((-111.909092 33.4342734, -111.909153 33.4355585, -111.9083261 33.4356584, -111.9040239 33.4364195, -111.9003337 33.4364647, -111.897909 33.4366616, -111.8953341 33.4371899, -111.8933707 33.4378882, -111.8925768 33.4381568, -111.8881345 33.438989, -111.885184 33.4392128, -111.8819225 33.4390158, -111.8802595 33.4387473, -111.8786668 33.4386454, -111.8779333 33.4383989, -111.8767333 33.4384625, -111.8746669 33.4389846, -111.874091 33.438882, -111.8729024 33.4402097, -111.8717384 33.4407567, -111.8705606 33.4413973, -111.8698262 33.4417467, -111.869517 33.441782, -111.8695849 33.441263, -111.8701106 33.4403234, -111.8703688 33.4400576, -111.8714302 33.439831, -111.873458 33.438121, -111.8736028 33.4374897, -111.874563 33.4370466, -111.8773418 33.4368944, -111.8825238 33.4369213, -111.8848515 33.438031, -111.8860107 33.4382195, -111.8891966 33.4369387, -111.8934565 33.4362946, -111.8958429 33.4356588, -111.8996545 33.4355422, -111.9019967 33.4354082, -111.9043118 33.435182, -111.9048813 33.4350927, -111.9052052 33.4350477, -111.9056917 33.4348747, -111.9065081 33.4345789, -111.9069045 33.4344079, -111.9071888 33.4342776, -111.9075821 33.4341398, -111.9079079 33.4340271, -111.9087383 33.4341362, -111.909092 33.4342734))"
,5,242630984,scrub,,0.0001236991267300311,POINT (-111.8872079 33.4376216),"POLYGON ((-111.9097216 33.4332376, -111.9102295 33.4331835, -111.9103697 33.4355833, -111.9105597 33.4355617, -111.9105597 33.4358427, -111.9102733 33.4363589, -111.9085211 33.4363271, -111.9083561 33.4364199, -111.9080766 33.4365351, -111.9077713 33.4365879, -111.9066855 33.4366713, -111.9055045 33.4367349, -111.9031758 33.4367469, -111.9013995 33.4367469, -111.899154 33.4370802, -111.8969041 33.4374224, -111.8963659 33.4375536, -111.8944373 33.4381218, -111.8932563 33.4384835, -111.8922657 33.4388848, -111.8919038 33.4390358, -111.8913371 33.4391868, -111.8898418 33.43931, -111.8892418 33.4394293, -111.8883989 33.4396637, -111.8876905 33.4396268, -111.884376 33.4396745, -111.8805901 33.4396268, -111.8788842 33.4395837, -111.8773816 33.43961, -111.8769053 33.4396378, -111.8760339 33.4398325, -111.874951 33.4401604, -111.8742939 33.4404007, -111.8739305 33.4405623, -111.8735727 33.4407164, -111.872642 33.4410803, -111.8720277 33.4413625, -111.8716229 33.4416049, -111.8710133 33.4421135, -111.8695717 33.4432684, -111.8677725 33.4396071, -111.8683719 33.4391463, -111.8686289 33.4390023, -111.8690252 33.438781, -111.8697256 33.438455, -111.869791 33.438395, -111.8701653 33.4382366, -111.8707897 33.4379661, -111.871416 33.4377301, -111.8723858 33.4374434, -111.8730108 33.4372298, -111.8735682 33.4369387, -111.8756185 33.436415, -111.8761 33.436356, -111.8766603 33.4363345, -111.8774606 33.4363434, -111.8782517 33.4363166, -111.8791542 33.4363279, -111.8829525 33.4363869, -111.8845432 33.4364165, -111.8861568 33.436478, -111.8871997 33.4365056, -111.8882371 33.4364987, -111.8892575 33.4364901, -111.8900384 33.4363988, -111.8902492 33.4362953, -111.8904111 33.4362545, -111.8912278 33.4362501, -111.8929136 33.4361269, -111.8932731 33.4359004, -111.8938565 33.435652, -111.8944113 33.4355129, -111.8953588 33.4353187, -111.8973874 33.4352472, -111.897916 33.4353107, -111.8995222 33.4351424, -111.9007398 33.435024, -111.9028496 33.434808, -111.9030119 33.4347881, -111.9037381 33.4347106, -111.9046629 33.4346295, -111.905185 33.4345697, -111.9052968 33.4345408, -111.905846 33.4343637, -111.9067925 33.4339231, -111.9071504 33.4337561, -111.9074973 33.4335977, -111.9078741 33.4334407, -111.9081264 33.4333641, -111.9084608 33.4332875, -111.9086986 33.4332658, -111.9091907 33.4332173, -111.9094215 33.4332261, -111.9097216 33.4332376))"
,6,288006971,water,,4.583387350005373e-07,POINT (-111.932767 33.4342274),"POLYGON ((-111.9332201 33.4339094, -111.9330313 33.4338673, -111.9329575 33.4340514, -111.9329188 33.4340754, -111.9328837 33.4340789, -111.9323321 33.4339177, -111.9323057 33.433969, -111.9322832 33.4340306, -111.9322759 33.434111, -111.9322759 33.4341623, -111.9322858 33.4342131, -111.9323063 33.4342681, -111.9323391 33.4343257, -111.9323789 33.4343778, -111.9324374 33.434437, -111.9325028 33.4344784, -111.9325965 33.4345156, -111.932691 33.4345363, -111.9328055 33.4345388, -111.9328784 33.4345349, -111.9329712 33.4345134, -111.9330362 33.4344862, -111.933127 33.4344271, -111.9331993 33.4343587, -111.9332429 33.4343003, -111.9332808 33.4342261, -111.9332904 33.4341772, -111.9331861 33.4341435, -111.9331604 33.4341176, -111.9331543 33.4340801, -111.9332201 33.4339094))"
,7,288007124,boatyard,fence,4.0125979999899293e-07,POINT (-111.9315098 33.4344009),"POLYGON ((-111.9320316 33.434409, -111.9318892 33.4342058, -111.9318312 33.4341644, -111.9312283 33.4341644, -111.9310069 33.4344285, -111.9309435 33.4345002, -111.9309882 33.434608, -111.9318825 33.4346053, -111.9319322 33.4345099, -111.9321111 33.434521, -111.9320597 33.434456, -111.9320316 33.434409))"
,8,288007143,beach,,5.138209450013588e-07,POINT (-111.9394679 33.4345915),"POLYGON ((-111.9385579 33.4344793, -111.9384104 33.4344834, -111.9383412 33.4344969, -111.93835 33.4346855, -111.9389083 33.4347157, -111.9394609 33.4347082, -111.9399563 33.4347062, -111.9406039 33.4346984, -111.9406309 33.4345381, -111.9401753 33.4344697, -111.9399493 33.4344619, -111.9393063 33.4344746, -111.9385579 33.4344793))"
,9,546630845,river,,1.7756399549933514e-06,POINT (-111.9160676 33.4388165),"POLYGON ((-111.9158504 33.4408023, -111.915742 33.4408064, -111.9155399 33.4407616, -111.9154444 33.4407577, -111.9153117 33.4408047, -111.9152464 33.4408027, -111.9152228 33.4405978, -111.9152336 33.440371, -111.9152493 33.4399517, -111.9153342 33.4395313, -111.9156099 33.438748, -111.9160978 33.4378983, -111.9169994 33.436969, -111.9175903 33.4362879, -111.9177121 33.4363727, -111.9178671 33.4364806, -111.917116 33.4371549, -111.9165062 33.4377966, -111.9160607 33.43854, -111.9158751 33.4389737, -111.9157637 33.4394428, -111.9157425 33.439903, -111.9158539 33.44008, -111.9157797 33.4403657, -111.9157849 33.4405447, -111.9158751 33.4406332, -111.9158504 33.4408023))"
