iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_sov,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_07:00,spd_mph_07:05,spd_mph_07:10,spd_mph_07:15,spd_mph_07:20,spd_mph_07:25,spd_mph_07:30,spd_mph_07:35,spd_mph_07:40,spd_mph_07:45,spd_mph_07:50,spd_mph_07:55,
10,1,0,1,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.4063,0.4063,0.1500,4.0000,1.0000,18.6451,30.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9304264 33.4231268, -111.9304120 33.4231839, -111.9304005 33.4232277, -111.9303882 33.4232950, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.9302430 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.9299243 33.4240186, -111.9296860 33.4241011, -111.9296630 33.4241090, -111.9292198 33.4242567, -111.9290798 33.4242989)",0.000000,0.000000,7.500000,7.500000,7.500000,13.983840,22.499999,0.000000,-nan(ind),18.645121,13.983840,29.999999,22.499999,18.645121,18.645121,18.645121,29.999999,29.999999,29.999999,0.406340,0.000000,18.645,18.645,18.645,18.645,18.645,18.645,-nan(ind),18.645,18.645,18.645,18.645,18.645,
10,2,0,91,0.0000,0.0000,0.0000,-1.0000,1200.0000,0.0000,0.0000,0.1209,0.1209,0.1500,4.0000,1.0000,29.8322,48.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9304264 33.4231268, -111.9303102 33.4231118, -111.9301089 33.4230616, -111.9299067 33.4229799, -111.9295421 33.4227616, -111.9295097 33.4227418)",0.000000,0.000000,7.500000,7.500000,7.500000,22.374145,35.999999,0.000000,-nan(ind),29.832193,22.374145,47.999999,35.999999,29.832193,29.832193,29.832193,47.999999,47.999999,47.999999,0.120875,0.000000,29.832,29.832,29.832,29.832,29.832,29.832,-nan(ind),29.832,29.832,29.832,29.832,29.832,
10,3,0,94,0.0000,0.0000,0.0000,-1.0000,1200.0000,0.0000,0.0000,0.2455,0.2455,0.1500,4.0000,1.0000,29.8322,48.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9304264 33.4231268, -111.9305248 33.4232046, -111.9306079 33.4232582, -111.9307360 33.4233106, -111.9309357 33.4233812, -111.9311333 33.4234587, -111.9312907 33.4235414, -111.9314200 33.4236319, -111.9319949 33.4241089, -111.9320888 33.4241868)",0.000000,0.000000,7.500000,7.500000,7.500000,22.374145,35.999999,0.000000,-nan(ind),29.832193,22.374145,47.999999,35.999999,29.832193,29.832193,29.832193,47.999999,47.999999,47.999999,0.245488,0.000000,29.832,29.832,29.832,29.832,29.832,29.832,-nan(ind),29.832,29.832,29.832,29.832,29.832,
10,4,1,0,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.4063,0.4063,0.1500,4.0000,1.0000,18.6451,30.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.9296630 33.4241090, -111.9296860 33.4241011, -111.9299243 33.4240186, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.9302430 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.4232950, -111.9304005 33.4232277, -111.9304120 33.4231839, -111.9304264 33.4231268)",0.000000,0.000000,7.500000,7.500000,7.500000,13.983840,22.499999,0.000000,-nan(ind),18.645121,13.983840,29.999999,22.499999,18.645121,18.645121,18.645121,29.999999,29.999999,29.999999,0.406340,0.000000,18.645,18.645,18.645,18.645,18.645,18.645,-nan(ind),18.645,18.645,18.645,18.645,18.645,
10,5,1,364,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.5068,0.5068,0.1500,4.0000,1.0000,18.6451,30.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9290798 33.4242989, -111.9289046 33.4243452, -111.9287135 33.4243933, -111.9286430 33.4244053, -111.9283655 33.4244526, -111.9282474 33.4244664, -111.9281214 33.4244812, -111.9278961 33.4244980, -111.9276205 33.4245014, -111.9275146 33.4245016, -111.9274180 33.4245018, -111.9264710 33.4245060, -111.9263814 33.4245047)",0.000000,0.000000,7.500000,7.500000,7.500000,13.983840,22.499999,0.000000,-nan(ind),18.645121,13.983840,29.999999,22.499999,18.645121,18.645121,18.645121,29.999999,29.999999,29.999999,0.506800,0.000000,18.645,18.645,18.645,18.645,18.645,18.645,-nan(ind),18.645,18.645,18.645,18.645,18.645,
10,6,2,292,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.1264,0.1264,0.1500,4.0000,1.0000,18.6451,30.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9412691 33.4243385, -111.9412759 33.4240511, -111.9412789 33.4240102, -111.9413077 33.4239694, -111.9414688 33.4238299)",0.000000,0.000000,7.500000,7.500000,7.500000,13.983840,22.499999,0.000000,-nan(ind),18.645121,13.983840,29.999999,22.499999,18.645121,18.645121,18.645121,29.999999,29.999999,29.999999,0.126400,0.000000,18.645,18.645,18.645,18.645,18.645,18.645,-nan(ind),18.645,18.645,18.645,18.645,18.645,
10,7,2,317,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.2192,0.2192,0.1500,4.0000,1.0000,18.6451,30.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9412691 33.4243385, -111.9417777 33.4243358, -111.9418110 33.4243431, -111.9418436 33.4243558, -111.9419645 33.4244387, -111.9420123 33.4244614, -111.9420536 33.4244698, -111.9424000 33.4244683)",0.000000,0.000000,7.500000,7.500000,7.500000,13.983840,22.499999,0.000000,-nan(ind),18.645121,13.983840,29.999999,22.499999,18.645121,18.645121,18.645121,29.999999,29.999999,29.999999,0.219220,0.000000,18.645,18.645,18.645,18.645,18.645,18.645,-nan(ind),18.645,18.645,18.645,18.645,18.645,
10,8,2,349,83.9169,0.0000,0.0000,-1.0000,1000.0000,83.9169,0.0839,0.1670,0.1670,0.1500,4.0000,1.0000,24.8600,39.9997,5.804817,0.233501,5.804817,0.233501,0.236184,0.236184,"LINESTRING (-111.9412691 33.4243385, -111.9407083 33.4243409, -111.9400719 33.4243450)",83.916900,0.083917,7.458042,7.500000,7.541958,18.644861,29.999581,1000.000000,1120121.243026,24.860161,18.645121,39.999999,29.999999,24.338614,24.338433,24.577489,39.160830,39.160538,39.545180,0.168870,0.000000,24.860,24.765,24.670,24.575,24.481,24.386,18.645,24.386,24.481,24.575,24.670,24.765,
10,9,4,5,6.8611,0.0000,0.0000,-1.0000,1000.0000,6.8611,0.0069,0.1349,0.1349,0.1500,4.0000,1.0000,24.8602,40.0000,0.383522,0.015427,0.383522,0.015427,0.015441,0.015441,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581, -111.9373581 33.4243583, -111.9367572 33.4243590, -111.9366660 33.4243591)",6.861100,0.006861,7.496569,7.500000,7.503431,18.645121,29.999999,686.110000,14774947457.560238,24.860161,18.645121,39.999999,29.999999,24.817519,24.817519,24.838694,39.931388,39.931388,39.965458,0.135027,0.000000,24.860,24.853,24.846,24.839,24.832,24.824,18.645,24.824,24.832,24.839,24.846,24.853,
10,10,4,329,0.0000,0.0000,0.0000,-1.0000,1000.0000,0.0000,0.0000,0.0650,0.0650,0.1500,4.0000,1.0000,24.8602,40.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9376334 33.4243567, -111.9376328 33.4243841, -111.9376425 33.4244102, -111.9376617 33.4244324, -111.9376883 33.4244484, -111.9377197 33.4244566, -111.9377525 33.4244560, -111.9377834 33.4244468, -111.9378092 33.4244299, -111.9378273 33.4244071, -111.9378360 33.4243793, -111.9378330 33.4243506, -111.9378189 33.4243244, -111.9377951 33.4243036, -111.9377644 33.4242905)",0.000000,0.000000,7.500000,7.500000,7.500000,18.645121,29.999999,0.000000,-nan(ind),24.860161,18.645121,39.999999,29.999999,24.860161,24.860161,24.860161,39.999999,39.999999,39.999999,0.065025,0.000000,24.860,24.860,24.860,24.860,24.860,24.860,-nan(ind),24.860,24.860,24.860,24.860,24.860,
