o_zone_id,d_zone_id,volume,
1,1,326.5096,
1,2,176.9421,
1,3,271.4058,
1,4,22.1975,
1,5,143.3976,
1,6,131.0577,
1,7,117.0158,
1,8,8.2975,
1,9,214.5290,
1,10,23.1904,
1,11,223.4648,
1,12,16.3113,
1,13,96.4494,
1,14,275.2354,
1,15,115.0301,
1,16,87.1591,
1,17,65.7416,
1,18,25.6016,
1,19,47.7992,
1,20,16.8786,
1,21,68.3656,
1,22,9.7159,
1,23,39.5017,
1,24,26.4527,
1,25,31.8425,
1,26,15.3184,
1,27,26.2399,
1,28,36.3104,
1,29,20.3537,
1,30,14.1128,
1,31,62.1248,
1,32,61.6993,
1,33,25.6016,
1,34,75.5284,
1,35,11.6307,
1,36,33.4027,
1,37,56.5222,
1,38,63.9687,
1,39,11.7016,
1,40,9.8577,
1,41,243.5347,
2,1,151.8445,
2,2,82.2876,
2,3,126.2183,
2,4,10.3231,
2,5,66.6876,
2,6,60.9489,
2,7,54.4186,
2,8,3.8588,
2,9,99.7675,
2,10,10.7848,
2,11,103.9231,
2,12,7.5856,
2,13,44.8542,
2,14,127.9993,
2,15,53.4952,
2,16,40.5336,
2,17,30.5734,
2,18,11.9061,
2,19,22.2292,
2,20,7.8495,
2,21,31.7937,
2,22,4.5184,
2,23,18.3704,
2,24,12.3019,
2,25,14.8085,
2,26,7.1239,
2,27,12.2030,
2,28,16.8863,
2,29,9.4655,
2,30,6.5632,
2,31,28.8914,
2,32,28.6935,
2,33,11.9061,
2,34,35.1248,
2,35,5.4089,
2,36,15.5341,
2,37,26.2859,
2,38,29.7489,
2,39,5.4419,
2,40,4.5844,
2,41,113.2568,
3,1,368.3473,
3,2,199.6148,
3,3,306.1827,
3,4,25.0419,
3,5,161.7720,
3,6,147.8510,
3,7,132.0098,
3,8,9.3607,
3,9,242.0179,
3,10,26.1619,
3,11,252.0987,
3,12,18.4014,
3,13,108.8081,
3,14,310.5030,
3,15,129.7696,
3,16,98.3273,
3,17,74.1655,
3,18,28.8821,
3,19,53.9240,
3,20,19.0414,
3,21,77.1257,
3,22,10.9608,
3,23,44.5633,
3,24,29.8422,
3,25,35.9227,
3,26,17.2813,
3,27,29.6022,
3,28,40.9630,
3,29,22.9617,
3,30,15.9212,
3,31,70.0852,
3,32,69.6052,
