name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
North 109th Street,0,5560934,0,1,1,33.83,1,30,1000,residential,6,"LINESTRING (-111.8461743 33.5896261, -111.8462330 33.5896486, -111.8464989 33.5897649)",auto,1,0,,
North 109th Street,1,5560934,1,0,1,33.83,1,30,1000,residential,6,"LINESTRING (-111.8464989 33.5897649, -111.8462330 33.5896486, -111.8461743 33.5896261)",auto,1,0,,
North 91st Street,2,5561765,2,3,1,16.66,1,30,1000,residential,6,"LINESTRING (-111.8842748 33.6174758, -111.8841377 33.6175729)",auto,1,0,,
North 91st Street,3,5561765,3,2,1,16.66,1,30,1000,residential,6,"LINESTRING (-111.8841377 33.6175729, -111.8842748 33.6174758)",auto,1,0,,
North Cinnabar Avenue,4,5562295,4,5,1,110.92,1,30,1000,residential,6,"LINESTRING (-111.8536636 33.5780488, -111.8536530 33.5779028, -111.8535323 33.5777260, -111.8528558 33.5774058)",auto,1,0,,
North Cinnabar Avenue,5,5562295,5,4,1,110.92,1,30,1000,residential,6,"LINESTRING (-111.8528558 33.5774058, -111.8535323 33.5777260, -111.8536530 33.5779028, -111.8536636 33.5780488)",auto,1,0,,
North Desert Close,6,5562999,6,7,1,10.57,1,40,1000,residential,6,"LINESTRING (-111.8467077 33.5984644, -111.8466758 33.5984472, -111.8466390 33.5984392, -111.8466011 33.5984413)",auto,0,0,,
North Desert Close,7,5562999,7,6,1,58.48,1,40,1000,residential,6,"LINESTRING (-111.8466011 33.5984413, -111.8465636 33.5984544, -111.8465335 33.5984772, -111.8465144 33.5985071, -111.8465084 33.5985406, -111.8465164 33.5985739, -111.8465372 33.5986029, -111.8465686 33.5986245, -111.8466069 33.5986360, -111.8466476 33.5986361, -111.8466729 33.5986298, -111.8467139 33.5986069, -111.8467355 33.5985808, -111.8467461 33.5985504, -111.8467448 33.5985188, -111.8467315 33.5984891, -111.8467077 33.5984644)",auto,0,0,,
North Paradise Drive,8,5563033,8,9,1,134.7,1,40,1000,residential,6,"LINESTRING (-111.8975526 33.5954029, -111.8973983 33.5956106, -111.8972729 33.5957956, -111.8972472 33.5958619, -111.8972115 33.5959598, -111.8971733 33.5961523, -111.8971677 33.5962816, -111.8971671 33.5964045, -111.8971645 33.5965427)",auto,1,0,,
North Paradise Drive,9,5563033,9,8,1,134.7,1,40,1000,residential,6,"LINESTRING (-111.8971645 33.5965427, -111.8971671 33.5964045, -111.8971677 33.5962816, -111.8971733 33.5961523, -111.8972115 33.5959598, -111.8972472 33.5958619, -111.8972729 33.5957956, -111.8973983 33.5956106, -111.8975526 33.5954029)",auto,1,0,,
East Cactus Road,10,5563161,10,11,1,134.11,1,40,1000,residential,6,"LINESTRING (-111.7810095 33.5963072, -111.7809239 33.5963581, -111.7808072 33.5964217, -111.7806959 33.5964664, -111.7805551 33.5964798, -111.7804599 33.5964564, -111.7803673 33.5964094, -111.7801380 33.5961894, -111.7798984 33.5959430)",auto,1,0,,
East Cactus Road,11,5563161,11,10,1,134.11,1,40,1000,residential,6,"LINESTRING (-111.7798984 33.5959430, -111.7801380 33.5961894, -111.7803673 33.5964094, -111.7804599 33.5964564, -111.7805551 33.5964798, -111.7806959 33.5964664, -111.7808072 33.5964217, -111.7809239 33.5963581, -111.7810095 33.5963072)",auto,1,0,,
North Moonset Close,12,5563772,12,13,1,87.29,1,40,1000,residential,6,"LINESTRING (-111.8500687 33.5982144, -111.8502575 33.5981072, -111.8504292 33.5980214, -111.8506695 33.5979642, -111.8509314 33.5979460)",auto,1,0,,
North Moonset Close,13,5563772,13,12,1,87.29,1,40,1000,residential,6,"LINESTRING (-111.8509314 33.5979460, -111.8506695 33.5979642, -111.8504292 33.5980214, -111.8502575 33.5981072, -111.8500687 33.5982144)",auto,1,0,,
North 96th Place,14,5563812,14,15,1,25.34,1,30,1000,residential,6,"LINESTRING (-111.8732641 33.5799717, -111.8730238 33.5800802)",auto,1,0,,
North 96th Place,15,5563812,15,14,1,25.34,1,30,1000,residential,6,"LINESTRING (-111.8730238 33.5800802, -111.8732641 33.5799717)",auto,1,0,,
North 111th Way,16,5564352,16,17,1,28.12,1,40,1000,residential,6,"LINESTRING (-111.8401405 33.5947252, -111.8398978 33.5948771)",auto,1,0,,
North 111th Way,17,5564352,17,16,1,28.12,1,40,1000,residential,6,"LINESTRING (-111.8398978 33.5948771, -111.8401405 33.5947252)",auto,1,0,,
North Sunset Close,18,5566893,18,19,1,10.61,1,40,1000,residential,6,"LINESTRING (-111.8516668 33.6011444, -111.8516458 33.6011178, -111.8516155 33.6010985, -111.8515792 33.6010887)",auto,0,0,,
North Sunset Close,19,5566893,19,18,1,55.07,1,40,1000,residential,6,"LINESTRING (-111.8515792 33.6010887, -111.8515427 33.6010892, -111.8515084 33.6010993, -111.8514797 33.6011179, -111.8514595 33.6011432, -111.8514500 33.6011725, -111.8514521 33.6012027, -111.8514656 33.6012309, -111.8514891 33.6012540, -111.8515202 33.6012698, -111.8515575 33.6012766, -111.8515954 33.6012727, -111.8516296 33.6012586, -111.8516563 33.6012358, -111.8516723 33.6012069, -111.8516760 33.6011753, -111.8516668 33.6011444)",auto,0,0,,
East Cannon Drive,20,5567066,20,21,1,102.32,1,30,1000,residential,6,"LINESTRING (-111.8555729 33.5813642, -111.8558198 33.5814914, -111.8561432 33.5815160, -111.8566195 33.5814272)",auto,1,0,,
East Cannon Drive,21,5567066,21,20,1,102.32,1,30,1000,residential,6,"LINESTRING (-111.8566195 33.5814272, -111.8561432 33.5815160, -111.8558198 33.5814914, -111.8555729 33.5813642)",auto,1,0,,
North 130th Way,22,5567403,22,23,1,30.69,1,40,1000,residential,6,"LINESTRING (-111.7976897 33.6025900, -111.7975670 33.6026029, -111.7973653 33.6026422)",auto,1,0,,
North 130th Way,23,5567403,23,22,1,30.69,1,40,1000,residential,6,"LINESTRING (-111.7973653 33.6026422, -111.7975670 33.6026029, -111.7976897 33.6025900)",auto,1,0,,
East Ironwood Drive,24,5571122,24,25,1,39.39,1,30,1000,residential,6,"LINESTRING (-111.8722940 33.5772437, -111.8721867 33.5769000)",auto,1,0,,
East Ironwood Drive,25,5571122,25,24,1,39.39,1,30,1000,residential,6,"LINESTRING (-111.8721867 33.5769000, -111.8722940 33.5772437)",auto,1,0,,
North 102nd Place,26,5572409,26,27,1,29.75,1,40,1000,residential,6,"LINESTRING (-111.8601562 33.6062620, -111.8604057 33.6064306)",auto,1,0,,
North 102nd Place,27,5572409,27,26,1,29.75,1,40,1000,residential,6,"LINESTRING (-111.8604057 33.6064306, -111.8601562 33.6062620)",auto,1,0,,
,28,5576761,28,29,1,84.71,1,30,1000,residential,6,"LINESTRING (-111.8733162 33.5731083, -111.8732330 33.5730933, -111.8731725 33.5731026, -111.8724427 33.5732977)",auto,1,0,,
,29,5576761,29,28,1,84.71,1,30,1000,residential,6,"LINESTRING (-111.8724427 33.5732977, -111.8731725 33.5731026, -111.8732330 33.5730933, -111.8733162 33.5731083)",auto,1,0,,
East Ironwood Drive,30,5576968,30,31,1,33.06,1,30,1000,residential,6,"LINESTRING (-111.8686079 33.5770724, -111.8687956 33.5768190)",auto,1,0,,
East Ironwood Drive,31,5576968,31,30,1,33.06,1,30,1000,residential,6,"LINESTRING (-111.8687956 33.5768190, -111.8686079 33.5770724)",auto,1,0,,
North 105th Street,32,5577217,32,33,1,11.7,1,30,1000,residential,6,"LINESTRING (-111.8543069 33.5754180, -111.8542287 33.5753352)",auto,1,0,,
North 105th Street,33,5577217,33,32,1,11.7,1,30,1000,residential,6,"LINESTRING (-111.8542287 33.5753352, -111.8543069 33.5754180)",auto,1,0,,
East 88th Place,34,5577320,34,35,1,27.63,1,40,1000,residential,6,"LINESTRING (-111.8900847 33.5930553, -111.8903824 33.5930597)",auto,1,0,,
East 88th Place,35,5577320,35,34,1,27.63,1,40,1000,residential,6,"LINESTRING (-111.8903824 33.5930597, -111.8900847 33.5930553)",auto,1,0,,
,36,5577465,36,37,1,11.03,1,30,1000,residential,6,"LINESTRING (-111.8716384 33.5720314, -111.8716244 33.5719326)",auto,0,0,,
East 88th Place,37,5578061,38,39,1,27.99,1,40,1000,residential,6,"LINESTRING (-111.8900820 33.5923286, -111.8903837 33.5923274)",auto,1,0,,
East 88th Place,38,5578061,39,38,1,27.99,1,40,1000,residential,6,"LINESTRING (-111.8903837 33.5923274, -111.8900820 33.5923286)",auto,1,0,,
East 88th Place,39,5578062,40,41,1,27.87,1,40,1000,residential,6,"LINESTRING (-111.8900860 33.5916047, -111.8903864 33.5916058)",auto,1,0,,
East 88th Place,40,5578062,41,40,1,27.87,1,40,1000,residential,6,"LINESTRING (-111.8903864 33.5916058, -111.8900860 33.5916047)",auto,1,0,,
East 88th Place,41,5578064,42,43,1,27.88,1,40,1000,residential,6,"LINESTRING (-111.8900887 33.5901568, -111.8903891 33.5901535)",auto,1,0,,
East 88th Place,42,5578064,43,42,1,27.88,1,40,1000,residential,6,"LINESTRING (-111.8903891 33.5901535, -111.8900887 33.5901568)",auto,1,0,,
East Texas Sage Lane,43,5578070,44,45,1,46.83,1,40,1000,residential,6,"LINESTRING (-111.8548029 33.6216328, -111.8547772 33.6217400, -111.8547412 33.6218040, -111.8546435 33.6218115, -111.8545880 33.6217819, -111.8545452 33.6216830)",auto,1,0,,
East Texas Sage Lane,44,5578070,45,44,1,46.83,1,40,1000,residential,6,"LINESTRING (-111.8545452 33.6216830, -111.8545880 33.6217819, -111.8546435 33.6218115, -111.8547412 33.6218040, -111.8547772 33.6217400, -111.8548029 33.6216328)",auto,1,0,,
East Mercer Lane,45,5578241,46,47,1,135.0,1,40,1000,residential,6,"LINESTRING (-111.8227581 33.5851061, -111.8228187 33.5851290, -111.8232736 33.5854368, -111.8237286 33.5857446, -111.8237923 33.5857976, -111.8238278 33.5859010)",auto,1,0,,
East Mercer Lane,46,5578241,47,46,1,135.0,1,40,1000,residential,6,"LINESTRING (-111.8238278 33.5859010, -111.8237923 33.5857976, -111.8237286 33.5857446, -111.8232736 33.5854368, -111.8228187 33.5851290, -111.8227581 33.5851061)",auto,1,0,,
East 106th Place,47,5578698,48,49,1,30.31,1,30,1000,residential,6,"LINESTRING (-111.8493269 33.5811850, -111.8491203 33.5813968)",auto,1,0,,
East 106th Place,48,5578698,49,48,1,30.31,1,30,1000,residential,6,"LINESTRING (-111.8491203 33.5813968, -111.8493269 33.5811850)",auto,1,0,,
North 107th Street,49,5578704,50,51,1,59.68,1,30,1000,residential,6,"LINESTRING (-111.8494312 33.5792436, -111.8487894 33.5792100)",auto,1,0,,
North 107th Street,50,5578704,51,50,1,59.68,1,30,1000,residential,6,"LINESTRING (-111.8487894 33.5792100, -111.8494312 33.5792436)",auto,1,0,,
East Corrine Drive,51,5580594,52,53,1,19.02,1,30,1000,residential,6,"LINESTRING (-111.8810408 33.6019280, -111.8810053 33.6020970)",auto,1,0,,
East Corrine Drive,52,5580594,53,52,1,19.02,1,30,1000,residential,6,"LINESTRING (-111.8810053 33.6020970, -111.8810408 33.6019280)",auto,1,0,,
North 138th Way,53,5581099,54,55,1,29.45,1,40,1000,residential,6,"LINESTRING (-111.7814348 33.5867685, -111.7813262 33.5867406, -111.7811309 33.5866918)",auto,1,0,,
North 138th Way,54,5581099,55,54,1,29.45,1,40,1000,residential,6,"LINESTRING (-111.7811309 33.5866918, -111.7813262 33.5867406, -111.7814348 33.5867685)",auto,1,0,,
North 128th Way,55,5581554,56,57,1,14.48,1,40,1000,residential,6,"LINESTRING (-111.8034432 33.5713449, -111.8033360 33.5714398)",auto,1,0,,
North 128th Way,56,5581554,57,56,1,14.48,1,40,1000,residential,6,"LINESTRING (-111.8033360 33.5714398, -111.8034432 33.5713449)",auto,1,0,,
East Arabian Park Drive,57,5582280,58,59,1,44.91,1,40,1000,residential,6,"LINESTRING (-111.8170850 33.5764316, -111.8171601 33.5764332, -111.8175689 33.5764335)",auto,1,0,,
East Arabian Park Drive,58,5582280,59,58,1,44.91,1,40,1000,residential,6,"LINESTRING (-111.8175689 33.5764335, -111.8171601 33.5764332, -111.8170850 33.5764316)",auto,1,0,,
North 139th Place,59,5582509,60,61,1,96.89,1,40,1000,residential,6,"LINESTRING (-111.7806007 33.5957716, -111.7805363 33.5956711, -111.7804116 33.5954476, -111.7803660 33.5952991, -111.7803150 33.5950578, -111.7802968 33.5949440)",auto,1,0,,
North 139th Place,60,5582509,61,60,1,96.89,1,40,1000,residential,6,"LINESTRING (-111.7802968 33.5949440, -111.7803150 33.5950578, -111.7803660 33.5952991, -111.7804116 33.5954476, -111.7805363 33.5956711, -111.7806007 33.5957716)",auto,1,0,,
North 139th Place,61,5582509,61,62,1,22.53,1,40,1000,residential,6,"LINESTRING (-111.7802968 33.5949440, -111.7802893 33.5947409)",auto,1,0,,
North 139th Place,62,5582509,62,61,1,22.53,1,40,1000,residential,6,"LINESTRING (-111.7802893 33.5947409, -111.7802968 33.5949440)",auto,1,0,,
North 139th Place,63,5582509,62,63,1,55.44,1,40,1000,residential,6,"LINESTRING (-111.7802893 33.5947409, -111.7802770 33.5942410)",auto,1,0,,
North 139th Place,64,5582509,63,62,1,55.44,1,40,1000,residential,6,"LINESTRING (-111.7802770 33.5942410, -111.7802893 33.5947409)",auto,1,0,,
,65,5584495,64,65,1,64.69,1,30,1000,residential,6,"LINESTRING (-111.8015841 33.5714339, -111.8008967 33.5715306)",auto,1,0,,
,66,5584495,65,64,1,64.69,1,30,1000,residential,6,"LINESTRING (-111.8008967 33.5715306, -111.8015841 33.5714339)",auto,1,0,,
