name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,41197842,,,,,residential,0,-111.8461743,33.5896261,,,
,1,41197844,turning_circle,,,,residential,2,-111.8464989,33.5897649,,,
,2,41211451,,,,,residential,0,-111.8842748,33.6174758,,,
,3,41211453,turning_circle,,,,residential,2,-111.8841377,33.6175729,,,
,4,41222507,,,,,residential,0,-111.8536636,33.5780488,,,
,5,41222508,turning_circle,,,,residential,2,-111.8528558,33.5774058,,,
,6,5852324456,,,,,residential,2,-111.8467077,33.5984644,,,
,7,358076330,,,,,residential,0,-111.8466011,33.5984413,,,
,8,41237388,,,,,residential,0,-111.8975526,33.5954029,,,
,9,41237390,,,,,secondary,0,-111.8971645,33.5965427,,,
,10,41239646,,,,,residential,0,-111.7810095,33.5963072,,,
,11,1076391737,,,,,residential,2,-111.7798984,33.595943,,,
,12,41236979,,,,,residential,0,-111.8500687,33.5982144,,,
,13,358074922,,,,,residential,2,-111.8509314,33.597946,,,
,14,41248111,turning_circle,,,,residential,2,-111.8732641,33.5799717,,,
,15,41248112,,,,,residential,0,-111.8730238,33.5800802,,,
,16,41253075,,,,,residential,0,-111.8401405,33.5947252,,,
,17,41253077,turning_circle,,,,residential,2,-111.8398978,33.5948771,,,
,18,5766938861,,,,,residential,2,-111.8516668,33.6011444,,,
,19,358075511,,,,,residential,0,-111.8515792,33.6010887,,,
,20,41277064,,,,,residential,0,-111.8555729,33.5813642,,,
,21,41277069,turning_circle,,,,residential,2,-111.8566195,33.5814272,,,
,22,41279715,,,,,residential,0,-111.7976897,33.60259,,,
,23,1148614975,turning_circle,,,,residential,2,-111.7973653,33.6026422,,,
,24,41313017,,,,,residential,0,-111.872294,33.5772437,,,
,25,41313019,turning_circle,,,,residential,2,-111.8721867,33.5769,,,
,26,41323935,,,,,residential,0,-111.8601562,33.606262,,,
,27,41323938,turning_circle,,,,residential,2,-111.8604057,33.6064306,,,
,28,41372232,,,,,residential,0,-111.8733162,33.5731083,,,
,29,41372234,,,,,residential,0,-111.8724427,33.5732977,,,
,30,41375052,,,,,residential,0,-111.8686079,33.5770724,,,
,31,41375054,turning_circle,,,,residential,2,-111.8687956,33.576819,,,
,32,41377592,,,,,residential,0,-111.8543069,33.575418,,,
,33,2097455301,,,,,residential,0,-111.8542287,33.5753352,,,
,34,41379301,,,,,residential,0,-111.8900847,33.5930553,,,
,35,41379302,turning_circle,,,,residential,2,-111.8903824,33.5930597,,,
,36,41381159,,,,,residential,0,-111.8716384,33.5720314,,,
,37,5100873804,,,,,residential,0,-111.8716244,33.5719326,,,
,38,41387819,,,,,residential,0,-111.890082,33.5923286,,,
,39,41387821,turning_circle,,,,residential,2,-111.8903837,33.5923274,,,
,40,41387826,,,,,residential,0,-111.890086,33.5916047,,,
,41,41387829,turning_circle,,,,residential,2,-111.8903864,33.5916058,,,
,42,41387833,,,,,residential,0,-111.8900887,33.5901568,,,
,43,41387836,turning_circle,,,,residential,2,-111.8903891,33.5901535,,,
