name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry,nhousehold,nemp,P_trip_rate,A_trip_rate,production,attraction
,5577,1,,,-111.9423,40.624038,,,,,,3348.8,4604.6
,11123,2,,,-111.943739,40.60952,,,,,,1557.8,2495.2
,11159,3,,,-111.943604,40.587762,,,,,,3777,3827.4
,11180,4,,,-111.944442,40.573253,,,,,,856.4,313
,11282,5,,,-111.943762,40.562247,,,,,,1333.2,2022.8
,5238,6,,,-111.938753,40.552997,,,,,,1600.6,1848.9
,11281,7,,,-111.929153,40.555761,,,,,,1673.9,1650.5
,10847,8,,,-111.902749,40.557151,,,,,,117.9,117.9
,5356,9,,,-111.899113,40.558973,,,,,,4112.5,3025.2
,5929,10,,,-111.897106,40.569721,,,,,,796,327.2
,5119,11,,,-111.90103,40.587971,,,,,,3749.5,3151.7
,11151,12,,,-111.90661,40.60596,,,,,,230.8,230.8
,5034,13,,,-111.902804,40.610814,,,,,,2473.1,1360.5
,5037,14,,,-111.901884,40.620828,,,,,,2711.8,3881
,4899,15,,,-111.910059,40.625783,,,,,,1543.6,1622
,11827,16,,,-111.929192,40.626782,,,,,,1671.7,1229.9
,1289,17,,,-111.933868,40.616707,,,,,,927.9,927.7
,1286,18,,,-111.934202,40.630776,,,,,,1022.9,361.9
,1352,19,,,-111.933963,40.567876,,,,,,674.7,674.6
,1356,20,,,-111.924114,40.567177,,,,,,238.6,238.3
,1357,,,,-111.914302,40.565109,,,,,,,
,6253,21,,,-111.913648,40.554715,,,,,,964.8,964.7
,3689,22,,,-111.900748,40.562521,,,,,,137.4,137.4
,1361,23,,,-111.902492,40.57568,,,,,,557.7,557.6
,1325,24,,,-111.907451,40.592344,,,,,,373.9,373.9
,1354,25,,,-111.923428,40.584054,,,,,,449.4,449.3
,1355,,,,-111.924746,40.576632,,,,,,,
,1323,26,,,-111.921418,40.591609,,,,,,216.8,216.6
,1346,27,,,-111.943605,40.584092,,,,,,370.2,370
,1348,,,,-111.943542,40.576985,,,,,,,
,1359,28,,,-111.911824,40.577722,,,,,,512.8,512.6
,3002,29,,,-111.91126,40.581966,,,,,,288,287.8
,1360,30,,,-111.901834,40.584029,,,,,,199.2,199.1
,1314,31,,,-111.944074,40.606326,,,,,,876.8,876.5
,1316,,,,-111.943565,40.598006,,,,,,,
,1318,,,,-111.943411,40.590891,,,,,,,
,8002,,,,-111.943373,40.593977,,,,,,,
,8116,,,,-111.944862,40.602292,,,,,,,
,1285,32,,,-111.943375,40.616454,,,,,,870,870
,1351,33,,,-111.943535,40.568001,,,,,,361.7,361.5
,1319,34,,,-111.934408,40.607297,,,,,,1066.3,1065.8
,1320,,,,-111.934152,40.599993,,,,,,,
,1322,,,,-111.934349,40.591006,,,,,,,
,1290,35,,,-111.924502,40.617134,,,,,,164.4,164.4
,1299,36,,,-111.908054,40.616174,,,,,,471.1,471
,1349,37,,,-111.934352,40.57687,,,,,,797.8,797.8
,1353,,,,-111.934266,40.584068,,,,,,,
,1397,38,,,-111.936589,40.553565,,,,,,902,902
,1404,39,,,-111.908153,40.57176,,,,,,165.7,165.6
,1296,40,,,-111.915638,40.613722,,,,,,139.2,139.1
,5578,41,,,-111.93876,40.630427,,,,,,3475.5,3434.6
,1,,,,-111.920177,40.587738,,,,,,,
,2,,,,-111.918417,40.587734,,,,,,,
,3,,,,-111.916477,40.58773,,,,,,,
,4,,,,-111.914379,40.587726,,,,,,,
,5,,,,-111.912416,40.587722,,,,,,,
,1358,,,,-111.911502,40.583522,,,,,,,
,3000,,,,-111.916207,40.5812,,,,,,,
,3001,,,,-111.909573,40.58079,,,,,,,
,4156,,,,-111.900942,40.58562,,,,,,,
,4804,,,,-111.910307,40.602331,,,,,,,
,4952,,,,-111.929251,40.616674,,,,,,,
,4958,,,,-111.910232,40.618529,,,,,,,
,5009,,,,-111.913172,40.61047,,,,,,,
,5010,,,,-111.910059,40.616076,,,,,,,
,5017,,,,-111.938751,40.609517,,,,,,,
,5018,,,,-111.938855,40.616737,,,,,,,
,5022,,,,-111.929163,40.609415,,,,,,,
,5027,,,,-111.910314,40.610655,,,,,,,
,5030,,,,-111.909957,40.621262,,,,,,,
,5103,,,,-111.929223,40.594991,,,,,,,
,5106,,,,-111.910268,40.598557,,,,,,,
,5109,,,,-111.910315,40.605939,,,,,,,
,5112,,,,-111.93873,40.587762,,,,,,,
,5113,,,,-111.93877,40.594013,,,,,,,
,5114,,,,-111.929195,40.587794,,,,,,,
,5117,,,,-111.910225,40.587717,,,,,,,
,5118,,,,-111.90426,40.588014,,,,,,,
,5174,,,,-111.913869,40.559071,,,,,,,
,5175,,,,-111.904348,40.569696,,,,,,,
,5208,,,,-111.938693,40.562285,,,,,,,
,5209,,,,-111.938738,40.568083,,,,,,,
,5210,,,,-111.938741,40.576961,,,,,,,
,5211,,,,-111.938687,40.573111,,,,,,,
,5214,,,,-111.929207,40.5622,,,,,,,
,5215,,,,-111.919678,40.572454,,,,,,,
,5216,,,,-111.902774,40.558997,,,,,,,
,5219,,,,-111.929172,40.57674,,,,,,,
,5232,,,,-111.929201,40.572493,,,,,,,
,5240,,,,-111.911929,40.614669,,,,,,,
,5436,,,,-111.938742,40.624085,,,,,,,
,5440,,,,-111.929192,40.623484,,,,,,,
,5441,,,,-111.916854,40.622667,,,,,,,
,5524,,,,-111.925488,40.608731,,,,,,,
,5587,,,,-111.91926,40.560309,,,,,,,
,5588,,,,-111.917018,40.571988,,,,,,,
,5589,,,,-111.934063,40.587781,,,,,,,
,5592,,,,-111.922175,40.587742,,,,,,,
,5727,,,,-111.902133,40.588,,,,,,,
,5728,,,,-111.900794,40.573575,,,,,,,
,5729,,,,-111.900825,40.569709,,,,,,,
,5730,,,,-111.905499,40.583282,,,,,,,
,5736,,,,-111.938695,40.602343,,,,,,,
,5820,,,,-111.929267,40.603321,,,,,,,
,5861,,,,-111.915194,40.621817,,,,,,,
,5863,,,,-111.916784,40.610265,,,,,,,
,5868,,,,-111.910187,40.55886,,,,,,,
,6185,,,,-111.905514,40.575754,,,,,,,
,6255,,,,-111.919626,40.565871,,,,,,,
,6256,,,,-111.929139,40.568044,,,,,,,
,6270,,,,-111.904847,40.593812,,,,,,,
,6273,,,,-111.905677,40.596462,,,,,,,
,7210,,,,-111.904821,40.585866,,,,,,,
,7984,,,,-111.900701,40.580648,,,,,,,
,8172,,,,-111.905503,40.580699,,,,,,,
,10849,,,,-111.900672,40.584264,,,,,,,
,10850,,,,-111.904175,40.585624,,,,,,,
,10851,,,,-111.90613,40.597034,,,,,,,
,10852,,,,-111.909246,40.598382,,,,,,,
,10853,,,,-111.904442,40.592385,,,,,,,
,10854,,,,-111.904193,40.586691,,,,,,,
,10857,,,,-111.919656,40.562402,,,,,,,
,10872,,,,-111.913107,40.621094,,,,,,,
,11124,,,,-111.931819,40.609526,,,,,,,
,11125,,,,-111.93397,40.624024,,,,,,,
,11126,,,,-111.918637,40.623724,,,,,,,
,11127,,,,-111.924686,40.623746,,,,,,,
,11128,,,,-111.907655,40.620856,,,,,,,
,11129,,,,-111.907639,40.610911,,,,,,,
,11146,,,,-111.938858,40.605898,,,,,,,
,11147,,,,-111.929235,40.607691,,,,,,,
,11148,,,,-111.938793,40.599039,,,,,,,
,11150,,,,-111.910332,40.607207,,,,,,,
,11160,,,,-111.938878,40.590844,,,,,,,
,11161,,,,-111.929272,40.591047,,,,,,,
,11172,,,,-111.938819,40.584171,,,,,,,
,11173,,,,-111.929246,40.584369,,,,,,,
,11181,,,,-111.931031,40.573173,,,,,,,
,11182,,,,-111.930154,40.57258,,,,,,,
,11183,,,,-111.923406,40.572477,,,,,,,
,11184,,,,-111.91377,40.572331,,,,,,,
,11255,,,,-111.907886,40.587813,,,,,,,
,11257,,,,-111.908371,40.569754,,,,,,,
,11259,,,,-111.926737,40.562009,,,,,,,
,11261,,,,-111.934612,40.562298,,,,,,,
,11489,,,,-111.902652,40.580647,,,,,,,
,11507,,,,-111.902527,40.562393,,,,,,,
,11763,,,,-111.905488,40.584909,,,,,,,
,11910,,,,-111.904258,40.589983,,,,,,,
